kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
FC Kuressaare,4 - 1,Viljandi JK Tulevik,2019,4.0,1.0
Maardu Linnameeskond,2 - 2,JK Tallinna Kalev,2019,2.0,2.0
Tallinna FC Flora,1 - 0,JK Narva Trans,2019,1.0,0.0
Paide Linnameeskond,0 - 1,Nõmme Kalju FC,2019,0.0,1.0
Tallinna FCI Levadia,1 - 1,Tartu JK Tammeka,2019,1.0,1.0
Tallinna FCI Levadia,2 - 1,FC Kuressaare,2019,2.0,1.0
Paide Linnameeskond,2 - 1,JK Tallinna Kalev,2019,2.0,1.0
JK Narva Trans,5 - 2,Maardu Linnameeskond,2019,5.0,2.0
Tartu JK Tammeka,1 - 3,Viljandi JK Tulevik,2019,1.0,3.0
Nõmme Kalju FC,2 - 1,Tallinna FC Flora,2019,2.0,1.0
